Great Britain,GBR,2012,29,17,19
China,CHN,2012,38,28,22
Russia,RUS,2012,24,25,32
United States,US,2012,46,28,29
Korea,KOR,2012,13,8,7
Japan,JPN,2012,7,14,17
Germany,GER,2012,11,11,14
